                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.32545,                0.34371,                0.20661,                0.87036,                 0.9994,                      1,                  0.995,                0.99161,                 0.9994,                      1,                  0.995,                0.89014,                0.23679,                0.98725,                 0.4557,                0.99631,              0.0008912,              0.0008912,              0.0008912
                     59,                0.31982,                 0.3376,                0.20258,                0.86919,                0.99997,                      1,                  0.995,                0.98989,                0.99997,                      1,                  0.995,                0.91276,                 0.2782,                0.90341,                 0.5909,                 1.0256,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.3156,                0.33621,                0.20154,                0.86759,                0.99997,                      1,                  0.995,                  0.991,                0.99997,                      1,                  0.995,                0.89463,                0.28927,                0.98883,                0.53544,                 1.0488,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.3154,                0.33155,                0.20101,                 0.8689,                0.99997,                      1,                  0.995,                 0.9863,                0.99997,                      1,                  0.995,                0.88515,                0.20004,                0.91973,                0.45811,                0.97081,              0.0008318,              0.0008318,              0.0008318
                     62,                0.31678,                0.32494,                 0.2021,                0.86733,                      1,                0.99999,                  0.995,                0.99202,                      1,                0.99999,                  0.995,                0.89037,                0.29052,                 1.0897,                0.44225,                 1.0211,               0.000812,               0.000812,               0.000812
                     63,                0.31676,                0.33784,                 0.2016,                0.86791,                      1,                0.99977,                  0.995,                0.99257,                      1,                0.99977,                  0.995,                0.90327,                0.28593,                0.96626,                0.52295,                 1.0553,              0.0007922,              0.0007922,              0.0007922
                     64,                0.31555,                0.32565,                0.20064,                0.86619,                0.99987,                      1,                  0.995,                0.99149,                0.99987,                      1,                  0.995,                0.89471,                0.33241,                 1.0743,                0.56217,                 1.0793,              0.0007724,              0.0007724,              0.0007724
                     65,                0.31086,                0.32879,                0.19681,                0.86703,                      1,                0.99996,                  0.995,                0.99199,                      1,                0.99996,                  0.995,                0.89255,                0.28163,                 1.0173,                0.57058,                 1.0623,              0.0007526,              0.0007526,              0.0007526
                     66,                0.30742,                0.32715,                0.19563,                0.86604,                      1,                0.99998,                  0.995,                0.98971,                      1,                0.99998,                  0.995,                0.88743,                0.35113,                 1.1268,                0.58289,                 1.0732,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.3055,                0.32399,                0.19499,                0.86501,                0.99891,                0.99986,                  0.995,                 0.9917,                0.99891,                0.99986,                  0.995,                0.88937,                0.28769,                 1.0768,                0.62677,                  1.049,               0.000713,               0.000713,               0.000713
                     68,                 0.3043,                0.31838,                0.19269,                 0.8651,                0.99996,                      1,                  0.995,                0.98965,                0.99996,                      1,                  0.995,                0.88425,                0.23973,                  1.186,                0.77348,                0.97751,              0.0006932,              0.0006932,              0.0006932
                     69,                0.29957,                0.31889,                0.18956,                0.86349,                      1,                0.99996,                  0.995,                0.99099,                      1,                0.99996,                  0.995,                0.88879,                 0.2273,                 1.1405,                0.53981,                0.97554,              0.0006734,              0.0006734,              0.0006734
                     70,                0.30659,                0.32007,                0.19193,                0.86285,                0.99994,                      1,                  0.995,                0.99091,                0.99994,                      1,                  0.995,                0.89265,                 0.3023,                 1.1215,                0.52882,                  1.047,              0.0006536,              0.0006536,              0.0006536
